#{"t_start": 1714203299.8340845, "env_id": "airsim_drone-v0"}
r,l,t
-15.518677,22,91.867773
-56.052856,14,141.103021
29.481161,44,293.507655
-66.031099,13,336.704736
-54.078485,15,388.493868
-58.187954,7,414.045202
-29.49505,33,538.449633
-82.964142,5,559.735548
12.388261,52,722.457597
-59.362861,8,751.65905
83.472813,82,1086.916339
-81.734558,4,1107.313115
62.706052,49,1249.161905
64.76042,38,1373.536453
27.059435,31,1478.26855
-57.663726,9,1510.968668
-51.201601,14,1555.654116
-56.090922,15,1602.997255
-61.574191,61,1789.214124
19.652653,69,2001.638843
-10.433514,31,2098.961897
295.023242,100,2405.286821
56.087769,43,2545.768418
20.170594,27,2636.610405
309.381094,100,2950.528885
43.748193,38,3093.985654
-1.08775,37,3226.928922
-59.219142,52,3401.891671
36.719123,59,3585.702534
-81.205743,8,3614.853928
145.1852,71,3819.722264
-4.450285,32,3937.617079
-54.931006,15,3990.258615
-4.393324,24,4077.279369
-16.186766,61,4291.379472
371.927288,100,4592.017386
-69.840281,11,4631.808205
80.859345,61,4845.881788
105.634846,53,5010.719402
351.122593,100,5356.922947
-5.028964,22,5430.311004
-71.882558,7,5459.305068
101.441908,57,5630.267389
-8.402338,40,5767.567812
100.704636,73,6001.319088
117.829595,82,6285.663533
